FECHA;FESTIVO;DIA DE LA SEMANA
2021-01-01;NO;Viernes
2021-01-02;NO;Sabado
2021-01-03;SI;Domingo
2021-01-04;NO;Lunes
2021-01-05;NO;Martes
2021-01-06;NO;Miercoles
2021-01-07;NO;Jueves
2021-01-08;NO;Viernes
2021-01-09;NO;Sabado
2021-01-10;SI;Domingo
2021-01-11;NO;Lunes
2021-01-12;NO;Martes
2021-01-13;NO;Miercoles
2021-01-14;NO;Jueves
2021-01-15;NO;Viernes
2021-01-16;NO;Sabado
2021-01-17;SI;Domingo
2021-01-18;NO;Lunes
2021-01-19;NO;Martes
2021-01-20;NO;Miercoles
2021-01-21;NO;Jueves
2021-01-22;NO;Viernes
2021-01-23;NO;Sabado
2021-01-24;SI;Domingo
2021-01-25;NO;Lunes
2021-01-26;NO;Martes
2021-01-27;NO;Miercoles
2021-01-28;NO;Jueves
2021-01-29;NO;Viernes
2021-01-30;NO;Sabado
2021-01-31;SI;Domingo
2021-02-01;NO;Lunes
2021-02-02;NO;Martes
2021-02-03;NO;Miercoles
2021-02-04;NO;Jueves
2021-02-05;NO;Viernes
2021-02-06;NO;Sabado
2021-02-07;SI;Domingo
2021-02-08;NO;Lunes
2021-02-09;NO;Martes
2021-02-10;NO;Miercoles
2021-02-11;NO;Jueves
2021-02-12;NO;Viernes
2021-02-13;NO;Sabado
2021-02-14;SI;Domingo
2021-02-15;NO;Lunes
2021-02-16;NO;Martes
2021-02-17;NO;Miercoles
2021-02-18;NO;Jueves
2021-02-19;NO;Viernes
2021-02-20;NO;Sabado
2021-02-21;SI;Domingo
2021-02-22;NO;Lunes
2021-02-23;NO;Martes
2021-02-24;NO;Miercoles
2021-02-25;NO;Jueves
2021-02-26;NO;Viernes
2021-02-27;NO;Sabado
2021-02-28;SI;Domingo
2021-03-01;NO;Lunes
2021-03-02;NO;Martes
2021-03-03;NO;Miercoles
2021-03-04;NO;Jueves
2021-03-05;NO;Viernes
2021-03-06;NO;Sabado
2021-03-07;SI;Domingo
2021-03-08;NO;Lunes
2021-03-09;NO;Martes
2021-03-10;NO;Miercoles
2021-03-11;NO;Jueves
2021-03-12;NO;Viernes
2021-03-13;NO;Sabado
2021-03-14;SI;Domingo
2021-03-15;NO;Lunes
2021-03-16;NO;Martes
2021-03-17;NO;Miercoles
2021-03-18;NO;Jueves
2021-03-19;NO;Viernes
2021-03-20;NO;Sabado
2021-03-21;SI;Domingo
2021-03-22;NO;Lunes
2021-03-23;NO;Martes
2021-03-24;NO;Miercoles
2021-03-25;NO;Jueves
2021-03-26;NO;Viernes
2021-03-27;NO;Sabado
2021-03-28;SI;Domingo
2021-03-29;NO;Lunes
2021-03-30;NO;Martes
2021-03-31;NO;Miercoles
2021-04-01;NO;Jueves
2021-04-02;NO;Viernes
2021-04-03;NO;Sabado
2021-04-04;SI;Domingo
2021-04-05;NO;Lunes
2021-04-06;NO;Martes
2021-04-07;NO;Miercoles
2021-04-08;NO;Jueves
2021-04-09;NO;Viernes
2021-04-10;NO;Sabado
2021-04-11;SI;Domingo
2021-04-12;NO;Lunes
2021-04-13;NO;Martes
2021-04-14;NO;Miercoles
2021-04-15;NO;Jueves
2021-04-16;NO;Viernes
2021-04-17;NO;Sabado
2021-04-18;SI;Domingo
2021-04-19;NO;Lunes
2021-04-20;NO;Martes
2021-04-21;NO;Miercoles
2021-04-22;NO;Jueves
2021-04-23;NO;Viernes
2021-04-24;NO;Sabado
2021-04-25;SI;Domingo
2021-04-26;NO;Lunes
2021-04-27;NO;Martes
2021-04-28;NO;Miercoles
2021-04-29;NO;Jueves
2021-04-30;NO;Viernes
2021-05-01;NO;Sabado
2021-05-02;SI;Domingo
2021-05-03;NO;Lunes
2021-05-04;NO;Martes
2021-05-05;NO;Miercoles
2021-05-06;NO;Jueves
2021-05-07;NO;Viernes
